"","V1","value"
"1","abszolvál",1
"2","adakozó",1
"3","adottság",1
"4","aduász",1
"5","affinitás",1
"6","agilis",1
"7","agilitás",1
"8","agyas",1
"9","ahítat",1
"10","áhitat",1
"11","ajándék",1
"12","ajándékozás",1
"13","akadályozatlan",1
"14","akkurátus",1
"15","aktív",1
"16","alapos",1
"17","alaposság",1
"18","áld",1
"19","áldás",1
"20","áldomás",1
"21","áldott",1
"22","áldozatkész",1
"23","áldozatos",1
"24","alkalmas",1
"25","alkalmasság",1
"26","alkotó",1
"27","állhatatos",1
"28","állhatatosság",1
"29","ambiciózus",1
"30","angyal",1
"31","angyali",1
"32","angyalom",1
"33","aprólékos",1
"34","aprólékosan",1
"35","aranybánya",1
"36","aranyérmes",1
"37","aranyos",1
"38","ari",1
"39","aromás",1
"40","ász",1
"41","átélés",1
"42","átéléssel",1
"43","átfogó",1
"44","átgondolt",1
"45","átkarolás",1
"46","átkaroló",1
"47","átlátható",1
"48","atletikus",1
"49","atlétikus",1
"50","átnemesül",1
"51","atomzsír",1
"52","átölelõ",1
"53","áttekinthetõ",1
"54","áttekinthetõség",1
"55","áttörés",1
"56","attraktív",1
"57","átvészel",1
"58","bámulatos",1
"59","bámulatosan",1
"60","bántatlan",1
"61","barát",1
"62","baráti",1
"63","barátság",1
"64","barátságos",1
"65","barátságosság",1
"66","baró",1
"67","bársonyos",1
"68","bátor",1
"69","bátorság",1
"70","bátran",1
"71","bebiztosít",1
"72","becézget",1
"73","becsszó",1
"74","becsül",1
"75","becsülendõ",1
"76","becsülés",1
"77","becsület",1
"78","becsületes",1
"79","becsületesség",1
"80","becsületszó",1
"81","befolyásos",1
"82","befutott",1
"83","béke",1
"84","békeidõk",1
"85","békekötés",1
"86","békéltetõ",1
"87","békepárti",1
"88","békés",1
"89","békésen",1
"90","békesség",1
"91","békeszeretõ",1
"92","béketûrés",1
"93","békülékeny",1
"94","belát",1
"95","belátó",1
"96","beláttat",1
"97","beleszeret",1
"98","belevaló",1
"99","bensõséges",1
"100","bérmentve",1
"101","bestseller",1
"102","beszerezhetõ",1
"103","bevonz",1
"104","bizakodás",1
"105","bizakodó",1
"106","bizalom",1
"107","bizalomgerjesztõ",1
"108","bizalommal",1
"109","biztatás",1
"110","biztató",1
"111","biztonság",1
"112","biztonságos",1
"113","biztonságosan",1
"114","biztosíték",1
"115","bók",1
"116","boldog",1
"117","boldogan",1
"118","boldogság",1
"119","boldogságteljes",1
"120","boldogulni",1
"121","borotvaeszû",1
"122","bõkezû",1
"123","bölcs",1
"124","bölcsen",1
"125","bölcsesség",1
"126","bõvíthetõ",1
"127","bravúr",1
"128","brilliáns",1
"129","buzgó",1
"130","bûntelen",1
"131","célravezetõ",1
"132","célszerû",1
"133","céltudatos",1
"134","cirógat",1
"135","civilizált",1
"136","cizellált",1
"137","cool",1
"138","cuki",1
"139","cukimuki",1
"140","cukkancs",1
"141","cukorfalat",1
"142","családbarát",1
"143","csalatkozhatatlan",1
"144","csalhatatlan",1
"145","cselekvõképes",1
"146","csini",1
"147","csinos",1
"148","csinosít",1
"149","csoda",1
"150","csodák",1
"151","csodál",1
"152","csodálat",1
"153","csodálatos",1
"154","csodálatosan",1
"155","csodálattal",1
"156","csodálója",1
"157","csodás",1
"158","csodaszép",1
"159","csodaszer",1
"160","csodatétel",1
"161","csúcseredmény",1
"162","csúcsszuper",1
"163","csúcsteljesítmény",1
"164","dalia",1
"165","daliás",1
"166","decens",1
"167","dédelget",1
"168","dédelgetett",1
"169","dekoratív",1
"170","derék",1
"171","derû",1
"172","derûlátás",1
